signal_type,id_cliente,familia,month,prediccion,urgency,signal,categoria,signal_date,restock_date,metadata
type_1_model_prediction,69,Familia C1,2026-01,1.1510422229766846,,Esta semana el cliente 69 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,119,Familia C1,2026-01,1.1164709329605103,,Esta semana el cliente 119 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,123,Familia C1,2026-01,1.2048089504241943,,Esta semana el cliente 123 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,435,Familia C1,2026-01,1.0816552639007568,,Esta semana el cliente 435 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,495,Familia C1,2026-01,1.1126526594161987,,Esta semana el cliente 495 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,664,Familia C1,2026-01,1.572019338607788,,Esta semana el cliente 664 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,732,Familia C1,2026-01,1.178914189338684,,Esta semana el cliente 732 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,761,Familia C1,2026-01,1.566298007965088,,Esta semana el cliente 761 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,801,Familia C1,2026-01,1.0440367460250854,,Esta semana el cliente 801 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,959,Familia C1,2026-01,1.54833984375,,Esta semana el cliente 959 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,1420,Familia C1,2026-01,1.2536741495132446,,Esta semana el cliente 1420 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,1641,Familia C1,2026-01,1.1415066719055176,,Esta semana el cliente 1641 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,1730,Familia C1,2026-01,1.342145323753357,,Esta semana el cliente 1730 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,1897,Familia C1,2026-01,1.1452347040176392,,Esta semana el cliente 1897 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,2227,Familia C1,2026-01,1.2285345792770386,,Esta semana el cliente 2227 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,2235,Familia C1,2026-01,1.462498664855957,,Esta semana el cliente 2235 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,2305,Familia C1,2026-01,1.1673014163970947,,Esta semana el cliente 2305 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,2348,Familia C1,2026-01,1.1486153602600098,,Esta semana el cliente 2348 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,2503,Familia C1,2026-01,1.2358431816101074,,Esta semana el cliente 2503 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,2645,Familia C1,2026-01,1.2123271226882935,,Esta semana el cliente 2645 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,3049,Familia C1,2026-01,1.3392536640167236,,Esta semana el cliente 3049 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,3503,Familia C1,2026-01,1.1568657159805298,,Esta semana el cliente 3503 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,3728,Familia C1,2026-01,1.3382431268692017,,Esta semana el cliente 3728 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,3799,Familia C1,2026-01,1.0809389352798462,,Esta semana el cliente 3799 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,4048,Familia C1,2026-01,1.1405861377716064,,Esta semana el cliente 4048 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,4425,Familia C1,2026-01,1.0457050800323486,,Esta semana el cliente 4425 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,4459,Familia C1,2026-01,1.270219087600708,,Esta semana el cliente 4459 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,4549,Familia C1,2026-01,1.1499079465866089,,Esta semana el cliente 4549 podria comprar 1 unidades de Familia C1.,,,,
